1|Kraken|Test|8477955,L,19,Jared%20McCann,29997,Captain|8474586,R,7,Jordan%20Eberle,22050,Playmaker|8482665,C,10,Matty%20Beniers,21090,Scorer|8479987,C,67,Morgan%20Geekie,12223,Shooter|8477987,C,9,Ryan%20Donato,9617,Blocker
2|Stars|waer|8480027,L,21,Jason%20Robertson,43028,Captain|8480036,D,4,Miro%20Heiskanen,27242,Playmaker|8476902,D,23,Esa%20Lindell,16902,Scorer|8476822,C,11,Luke%20Glendening,5831,Shooter|8477810,D,44,Joel%20Hanley,5545,Blocker
5|Stars|Ernest%20Johnson|8480027,L,21,Jason%20Robertson,43028,Shooter|8473994,L,14,Jamie%20Benn,28881,Captain|8475825,D,2,Jani%20Hakanpaa,11936,Enforcer|8478975,L,27,Mason%20Marchment,9599,Scorer|8476822,C,11,Luke%20Glendening,5831,Playmaker
7|Kraken|Hottest|8478407,D,29,Vince%20Dunn,22479,Playmaker|8474586,R,7,Jordan%20Eberle,22050,Scorer|8480009,R,20,Eeli%20Tolvanen,21049,Captain|8476826,C,37,Yanni%20Gourde,16912,Shooter|8478840,D,3,Will%20Borgen,10789,Blocker
